NP_012537.1_Saccharomyces_cerevisiae	Saccharomyces_cerevisiae
XP_002549494.1_Candida_tropicalis-newassembly	Candida_tropicalis
XP_002549500.1_Candida_tropicalis-newassembly	Candida_tropicalis
XP_002549574.1_Candida_tropicalis-newassembly	Candida_tropicalis
XP_002549585.1_Candida_tropicalis	Candida_tropicalis
XP_002551913.1_Lachancea_thermotolerans	Lachancea_thermotolerans
XP_002552247.1_Lachancea_thermotolerans	Lachancea_thermotolerans
XP_002553446.1_Lachancea_thermotolerans	Lachancea_thermotolerans
XP_002555052.1_Lachancea_thermotolerans	Lachancea_thermotolerans
XP_002616033.1_Clavispora_lusitaniae	Clavispora_lusitaniae
XP_003646609.1_Eremothecium_cymbalariae	Eremothecium_cymbalariae
XP_003669140.1_Naumovozyma_dairenensis	Naumovozyma_dairenensis
XP_003673094.1_Naumovozyma_castellii	Naumovozyma_castellii
XP_003681857.1_Torulaspora_delbrueckii	Torulaspora_delbrueckii
XP_003683059.1_Torulaspora_delbrueckii	Torulaspora_delbrueckii
XP_003688297.1_Tetrapisispora_phaffii	Tetrapisispora_phaffii
XP_003867239.2_Candida_orthopsilosis-newassembly	Candida_orthopsilosis
XP_003868698.1_Candida_orthopsilosis-newassembly	Candida_orthopsilosis
XP_003868699.1_Candida_orthopsilosis-newassembly	Candida_orthopsilosis
XP_003956759.1_Kazachstania_africana	Kazachstania_africana
XP_004180333.1_Tetrapisispora_blattae	Tetrapisispora_blattae
XP_006686436.1_Yamadazyma_tenuis	Yamadazyma_tenuis
XP_007372029.1_Spathaspora_passalidarum-newassembly	Spathaspora_passalidarum
XP_007372696.1_Spathaspora_passalidarum-newassembly	Spathaspora_passalidarum
XP_007372698.1_Spathaspora_passalidarum	Spathaspora_passalidarum
XP_007372791.1_Spathaspora_passalidarum-newassembly	Spathaspora_passalidarum
XP_007373346.1_Spathaspora_passalidarum-newassembly	Spathaspora_passalidarum
XP_007373417.1_Spathaspora_passalidarum	Spathaspora_passalidarum
XP_007373625.1_Spathaspora_passalidarum-newassembly	Spathaspora_passalidarum
XP_007373627.1_Spathaspora_passalidarum-newassembly	Spathaspora_passalidarum
XP_007374202.1_Spathaspora_passalidarum-newassembly	Spathaspora_passalidarum
XP_007374407.1_Spathaspora_passalidarum	Spathaspora_passalidarum
XP_007374586.1_Spathaspora_passalidarum-newassembly	Spathaspora_passalidarum
XP_007374661.1_Spathaspora_passalidarum-newassembly	Spathaspora_passalidarum
XP_007374664.1_Spathaspora_passalidarum-newassembly	Spathaspora_passalidarum
XP_007374987.1_Spathaspora_passalidarum	Spathaspora_passalidarum
XP_007374988.1_Spathaspora_passalidarum	Spathaspora_passalidarum
XP_007375238.1_Spathaspora_passalidarum-newassembly	Spathaspora_passalidarum
XP_007375573.1_Spathaspora_passalidarum	Spathaspora_passalidarum
XP_007375672.1_Spathaspora_passalidarum-newassembly	Spathaspora_passalidarum
XP_007376381.1_Spathaspora_passalidarum-newassembly	Spathaspora_passalidarum
XP_007376506.1_Spathaspora_passalidarum-newassembly	Spathaspora_passalidarum
XP_007376507.1_Spathaspora_passalidarum-newassembly	Spathaspora_passalidarum
XP_007376508.1_Spathaspora_passalidarum-newassembly	Spathaspora_passalidarum
XP_007376996.1_Spathaspora_passalidarum-newassembly	Spathaspora_passalidarum
XP_007377896.1_Spathaspora_passalidarum	Spathaspora_passalidarum
XP_011271329.1_Wickerhamomyces_ciferrii	Wickerhamomyces_ciferrii
XP_011274191.1_Wickerhamomyces_ciferrii	Wickerhamomyces_ciferrii
XP_011275016.1_Wickerhamomyces_ciferrii	Wickerhamomyces_ciferrii
XP_011275749.1_Wickerhamomyces_ciferrii	Wickerhamomyces_ciferrii
XP_011275752.1_Wickerhamomyces_ciferrii	Wickerhamomyces_ciferrii
XP_015467388.1_Debaryomyces_fabryi	Debaryomyces_fabryi
XP_018221315.1_Saccharomyces_eubayanus-newassembly	Saccharomyces_eubayanus
XP_019036962.1_Wickerhamomyces_anomalus	Wickerhamomyces_anomalus
XP_019037149.1_Wickerhamomyces_anomalus	Wickerhamomyces_anomalus
XP_019038428.1_Wickerhamomyces_anomalus	Wickerhamomyces_anomalus
XP_019040826.1_Wickerhamomyces_anomalus	Wickerhamomyces_anomalus
XP_020068023.1_Cyberlindnera_jadinii	Cyberlindnera_jadinii
XP_020070392.1_Cyberlindnera_jadinii	Cyberlindnera_jadinii
XP_020070935.1_Cyberlindnera_jadinii	Cyberlindnera_jadinii
XP_020070949.1_Cyberlindnera_jadinii	Cyberlindnera_jadinii
XP_020072689.1_Cyberlindnera_jadinii-newassembly	Cyberlindnera_jadinii
XP_020073834.1_Hyphopichia_burtonii	Hyphopichia_burtonii
XP_020075327.1_Hyphopichia_burtonii-newassembly	Hyphopichia_burtonii
XP_022465898.1_Kazachstania_naganishii	Kazachstania_naganishii
XP_022628947.1_Lachancea_lanzarotensis	Lachancea_lanzarotensis
XP_022678126.1_Kluyveromyces_marxianus	Kluyveromyces_marxianus
XP_024712791.1_Candida_pseudohaemulonii	Candida_pseudohaemulonii
XP_024713118.1_Candida_pseudohaemulonii	Candida_pseudohaemulonii
XP_024714320.1_Candida_pseudohaemulonii	Candida_pseudohaemulonii
XP_024715064.1_Candida_pseudohaemulonii	Candida_pseudohaemulonii
XP_025334501.1_Candida_duobushaemulonis	Candida_duobushaemulonis
XP_025335677.1_Candida_duobushaemulonis	Candida_duobushaemulonis
XP_025337656.1_Candida_duobushaemulonis	Candida_duobushaemulonis
XP_025337938.1_Candida_duobushaemulonis	Candida_duobushaemulonis
XP_025339548.1_Candida_haemuloni	Candida_haemuloni
XP_025341969.1_Candida_haemuloni	Candida_haemuloni
XP_028889001.2_Candida_auris	Candida_auris
XP_028889036.2_Candida_auris	Candida_auris
XP_033767273.1_Saccharomyces_paradoxus	Saccharomyces_paradoxus
XP_036667005.1_Candida_parapsilosis	Candida_parapsilosis
XP_036667835.1_Candida_parapsilosis	Candida_parapsilosis
XP_036667836.1_Candida_parapsilosis	Candida_parapsilosis
XP_036667837.1_Candida_parapsilosis	Candida_parapsilosis
XP_036667838.1_Candida_parapsilosis	Candida_parapsilosis
XP_037142305.1_Zygotorulaspora_mrakii	Zygotorulaspora_mrakii
XP_037144645.1_Zygotorulaspora_mrakii	Zygotorulaspora_mrakii
XP_037145229.1_Zygotorulaspora_mrakii	Zygotorulaspora_mrakii
XP_037145231.1_Zygotorulaspora_mrakii	Zygotorulaspora_mrakii
XP_037145232.1_Zygotorulaspora_mrakii	Zygotorulaspora_mrakii
XP_056077534.1_Saccharomyces_mikatae	Saccharomyces_mikatae
XP_056083108.1_Saccharomyces_kudriavzevii	Saccharomyces_kudriavzevii
XP_446542.1_Candida_glabrata	Candida_glabrata
XP_454386.1_Kluyveromyces_lactis	Kluyveromyces_lactis
XP_461635.2_Debaryomyces_hansenii	Debaryomyces_hansenii
AOW30297.1_Candida_albicans	Candida_albicans
P0CU38.1_Candida_albicans	Candida_albicans
AOW31402.1_Candida_albicans	Candida_albicans
AOW30333.1_Candida_albicans	Candida_albicans
AOW30296.1_Candida_albicans	Candida_albicans
ACA42971.1_Candida_albicans	Candida_albicans
AOW28639.1_Candida_albicans	Candida_albicans
AAP34371.1_Candida_albicans	Candida_albicans
